Slang #,Gen,Slang,Meaning
68,Z,Fam,Close friends or family
69,Alpha,Fanum tax,Taking food from someone (originated from streamer Fanum)
70,Alpha,Finesse,To skillfully handle a situation
71,Z,Finesse,Skillfully handle a situation
72,Z,Finsta,Fake Instagram account
73,Alpha,Fire,Amazing or awesome
74,Z,Fire,Awesome or amazing
75,Z,Fit,Outfit
76,Alpha,Flex,To show off or boast
77,Z,Flex,Show off or boast
78,Alpha,GOAT,Greatest of All Time
79,Z,GOAT,Greatest of All Time
80,Alpha,Ghost,To ignore someone or cut off communication abruptly
81,Z,Ghost,Disappear or ignore someone
82,Alpha,Glazing,Excessively praising or complimenting someone
83,Z,Glazing,Excessively praising or complimenting someone
84,Alpha,Glow up,A significant transformation or improvement
85,Z,Glow up,Major transformation or improvement
86,Alpha,Gucci,Good or cool
87,Z,Gucci,Good or cool
88,Alpha,Gyatt,Exclamation when seeing someone attractive
89,Alpha,Hawk tuah,Viral nonsensical catchphrase
90,Alpha,High-key,Openly or obviously
91,Z,High-key,Openly or obviously
92,Z,Hits different,A unique or special feeling
93,Z,Hundo P,"100 percent, absolutely"
94,Alpha,Hype,Excitement or enthusiasm
95,Z,Hype,Excitement or enthusiasm
96,Alpha,I can't even,Overwhelmed or speechless
97,Z,I can't even,Overwhelmed or speechless
98,Z,I'm dead,So funny it's overwhelming
99,Z,Ick,Sudden feeling of disgust toward someone
100,Z,It's giving,Used to describe something's vibe
101,Alpha,JOMO,Joy of Missing Out
102,Z,JOMO,Joy of Missing Out
103,Z,Juiced,Excited or hyped
104,Alpha,Karen,Entitled or demanding person
105,Z,Karen,Entitled or demanding person
106,Z,Keep it 100,Be honest
107,Alpha,Kicks,"Shoes, particularly sneakers"
108,Z,Kiki,A party or gathering
109,Z,Left on read,Ignored after reading a message
110,Alpha,Legit,Genuine or real
111,Alpha,Let him cook,Give someone space to finish what they're doing
112,Z,Let him cook,Give someone space to finish what they're doing
113,Alpha,Lit,Exciting or excellent
114,Z,Lit,Exciting or fun
115,Alpha,Litty,Very exciting or fun
116,Alpha,Looksmaxxing,Attempting to maximize physical attractiveness
117,Alpha,Low-key,Modestly or secretly
118,Z,Low-key,Secretly or moderately
119,Z,Main character,Person who stands out
120,Alpha,Mewing,Pressing tongue to roof of mouth to define the jawline
121,Alpha,Mogged,Physically outperformed or overshadowed by someone
122,Alpha,Mood,A relatable feeling or situation
123,Z,Mood,A relatable feeling or situation
124,Z,Mother,Term of admiration for a confident person
125,Alpha,NPC,Someone who acts robotic or scripted in real life
126,Alpha,Nah I'd win,Confident declaration (anime reference)
127,Alpha,No cap,"No lie, for real"
128,Z,No cap,"No lie, for real"
129,Alpha,No chill,Overly intense or serious
130,Z,No chill,Overly intense or serious
131,Alpha,Noob,Newbie or inexperienced person
132,Alpha,OG,Original or authentic
133,Z,OTP,One True Pairing
134,Alpha,Ohio,"Adjective for something weird, cringe, or chaotic"
135,Z,On God,I swear
136,Alpha,On fleek,Perfectly styled or groomed
137,Z,On point,Perfectly executed
138,Z,Periodt,"End of discussion, definitive"
139,Z,Pick me,Someone who seeks validation by being different
140,Alpha,Pog,"Play of the Game, an impressive achievement"
141,Z,Ratchet,Unrefined or uncouth
142,Z,Ratioed,More dislikes than likes
143,Alpha,Receipts,Proof or evidence
144,Z,Receipts,Proof or evidence
145,Z,Red flag,Warning sign in a relationship
146,Alpha,Rizz,"Short for charisma, ability to charm others"
147,Alpha,Rizzler,Someone who is highly charismatic or good at flirting
148,Alpha,Roast,To humorously insult or criticize
149,Z,Roman Empire,Something you think about frequently
150,Alpha,Salty,Upset or bitter
151,Z,Salty,Bitter or upset
152,Alpha,Savage,Ruthless or daring
153,Z,Savage,Fierce or bold
154,Z,Say less,Understood
155,Z,Secure the bag,Obtain something valuable
156,Alpha,Shade,Subtle disrespect or criticism
157,Alpha,Ship,To support a romantic relationship between people
158,Z,Ship,Support a romantic relationship
159,Alpha,Shook,Shocked or surprised
160,Z,Shook,Shocked or surprised
161,Alpha,Shooketh,Extremely shocked or surprised
162,Z,Shooketh,Extremely shocked
163,Alpha,Sigma,"Independent, cool, or used as nonsensical intensifier"
164,Alpha,Simp,Someone who is overly attentive to their crush
165,Z,Simp,Overly attentive to someone
166,Z,Situationship,Undefined romantic relationship
167,Alpha,Skibidi,"Nonsensical viral term, used as filler or intensifier"
168,Z,Skrt,"Sound of tires screeching, means stop"
169,Alpha,Sksksk,Expression of laughter or excitement
170,Alpha,Slaps,"Sounds good, especially music"
171,Z,Slaps,"Sounds good, especially music"
172,Alpha,Slay,To do something exceptionally well
173,Z,Slay,To do something exceptionally well
174,Z,Slide into DMs,Privately message someone
175,Z,Snack,Attractive person
176,Z,Snatched,Looking exceptionally good
177,Z,Spill the tea,Share the gossip
178,Alpha,Squad,Group of friends
179,Alpha,Stan,An overzealous or dedicated fan
180,Z,Stan,Overzealous or dedicated fan
181,Alpha,Sus,Suspicious or questionable
182,Z,Sus,Suspicious or suspect
183,Z,Swerve,Avoid or dodge
184,Alpha,Swole,Muscular or physically fit
185,Z,TBT,Throwback Thursday
186,Alpha,TFW,That Feeling When
187,Z,TFW,That Feeling When
188,Alpha,Tea,Gossip or news
189,Z,Tea,Gossip or news
190,Alpha,Tea spill,To share gossip or secrets
191,Z,Thicc,Curvaceous or full-figured
192,Alpha,Thirst trap,Flirtatious photo posted to attract attention
193,Z,Thirst trap,Flirtatious photo posted for attention
194,Alpha,Thirsty,Desperately seeking attention or validation
195,Z,Thirsty,Desperate for attention
196,Z,Throw shade,Subtly insult or criticize
197,Alpha,Trash,Bad or low quality
198,Z,Trash,Bad or low quality
199,Alpha,Trolling,Deliberately provoking or upsetting others online
200,Z,Trolling,Deliberately provoking others online
201,Alpha,Tweaking,Acting strange or out of character
202,Z,Tweaking,Acting strange or out of character
203,Alpha,Unalive,Euphemism for kill/die (to avoid content moderation)
204,Z,Unalive,Euphemism for kill/die (to avoid content moderation)
205,Alpha,Unc,"Short for Uncle, someone perceived as older or out of touch"
206,Z,Understood the assignment,Performed perfectly
207,Alpha,Very mindful,"Paired with demure, ironic restraint and modesty"
208,Alpha,Vibe,Atmosphere or feeling
209,Z,Vibe check,Assess someone's mood or energy
210,Z,Vibes,Feelings or atmosphere
211,Alpha,Vibing,Relaxing or enjoying oneself
212,Z,Vibing,Enjoying the atmosphere
213,Alpha,W,Win or victory
214,Z,W,Win or success
215,Z,Wack,Lame or bad
216,Z,Wavy,Cool or chill
217,Alpha,What the sigma,"Nonsensical exclamation, like ""What the heck"""
218,Alpha,Whip,Car
219,Alpha,Wig snatched,Amazed or impressed to the point of being speechless
220,Z,Wig snatched,Amazed or impressed
221,Z,Woke,Socially aware or conscious
222,Alpha,YOLO,You Only Live Once
223,Z,YOLO,You Only Live Once
224,Alpha,Yap,Talking too much
225,Z,Yap,Talking too much
226,Alpha,Yass,Enthusiastic agreement or approval
227,Alpha,Yeet,To throw something with force
228,Z,Yeet,To throw with force
229,Z,Yikes,Expression of shock or concern
230,Alpha,Zaddy,Attractive and stylish man
231,Z,Zaddy,"Attractive, fashionable man"
232,Alpha,Zoomer,Member of Generation Z or Alpha
